FID,Id,ORIG_FID,full_name,SUM_length,lat,lon
63,0,0,1 ST SE,668.663096325999959,51.047911337300000,-114.060396158000003
64,0,0,1 ST SE,668.663096325999959,51.047889933699999,-114.060397687000005
65,0,0,1 ST SE,668.663096325999959,51.047868530099997,-114.060399215000004
66,0,0,1 ST SE,668.663096325999959,51.047847126500002,-114.060400744000006
67,0,0,1 ST SE,668.663096325999959,51.047825722900001,-114.060402272999994
68,0,0,1 ST SE,668.663096325999959,51.047804319299999,-114.060403801999996
69,0,0,1 ST SE,668.663096325999959,51.047782915699997,-114.060405329999995
70,0,0,1 ST SE,668.663096325999959,51.047761512100003,-114.060406858999997
71,0,0,1 ST SE,668.663096325999959,51.047740108500001,-114.060408387999999
72,0,0,1 ST SE,668.663096325999959,51.047718704799998,-114.060409917000001
73,0,0,1 ST SE,668.663096325999959,51.047697301200003,-114.060411445000000
74,0,0,1 ST SE,668.663096325999959,51.047675897600001,-114.060412974000002
75,0,0,1 ST SE,668.663096325999959,51.047654494000000,-114.060414503000004
76,0,0,1 ST SE,668.663096325999959,51.047633090399998,-114.060416031000003
77,0,0,1 ST SE,668.663096325999959,51.047611686800003,-114.060417560000005
78,0,0,1 ST SE,668.663096325999959,51.047590283200002,-114.060419089000007
79,0,0,1 ST SE,668.663096325999959,51.047568879600000,-114.060420617999995
80,0,0,1 ST SE,668.663096325999959,51.047547475999998,-114.060422146999997
81,0,0,1 ST SE,668.663096325999959,51.047526072399997,-114.060423674999996
82,0,0,1 ST SE,668.663096325999959,51.047504668800002,-114.060425203999998
83,0,0,1 ST SE,668.663096325999959,51.047483265200000,-114.060426733000000
84,0,0,1 ST SE,668.663096325999959,51.047461861599999,-114.060428262000002
85,0,0,1 ST SE,668.663096325999959,51.047440457999997,-114.060429790000001
86,0,0,1 ST SE,668.663096325999959,51.047419054400002,-114.060431319000003
87,0,0,1 ST SE,668.663096325999959,51.047397650800001,-114.060432848000005
88,0,0,1 ST SE,668.663096325999959,51.047376247199999,-114.060434377000007
89,0,0,1 ST SE,668.663096325999959,51.047354843599997,-114.060435905000006
90,0,0,1 ST SE,668.663096325999959,51.047333440000003,-114.060437433999994
91,0,0,1 ST SE,668.663096325999959,51.047312036400001,-114.060438962999996
92,0,0,1 ST SE,668.663096325999959,51.047290632699998,-114.060440490999994
93,0,0,1 ST SE,668.663096325999959,51.047269229100003,-114.060442019999996
94,0,0,1 ST SE,668.663096325999959,51.047247825500001,-114.060443548999999
95,0,0,1 ST SE,668.663096325999959,51.047226421900000,-114.060445076999997
96,0,0,1 ST SE,668.663096325999959,51.047205018299998,-114.060446605999999
97,0,0,1 ST SE,668.663096325999959,51.047183614700003,-114.060448135000001
98,0,0,1 ST SE,668.663096325999959,51.047162211100002,-114.060449664000004
99,0,0,1 ST SE,668.663096325999959,51.047140807500000,-114.060451192000002
100,0,0,1 ST SE,668.663096325999959,51.047119403899998,-114.060452721000004
101,0,0,1 ST SE,668.663096325999959,51.047098000299997,-114.060454250000006
102,0,0,1 ST SE,668.663096325999959,51.047076596700002,-114.060455778999994
103,0,0,1 ST SE,668.663096325999959,51.047055193100000,-114.060457306999993
104,0,0,1 ST SE,668.663096325999959,51.047033789499999,-114.060458835999995
105,0,0,1 ST SE,668.663096325999959,51.047012385899997,-114.060460364999997
106,0,0,1 ST SE,668.663096325999959,51.046990982300002,-114.060461893999999
107,0,0,1 ST SE,668.663096325999959,51.046969578700001,-114.060463421999998
108,0,0,1 ST SE,668.663096325999959,51.046948175099999,-114.060464951000000
109,0,0,1 ST SE,668.663096325999959,51.046926771400003,-114.060466478999999
110,0,0,1 ST SE,668.663096325999959,51.046905367800001,-114.060468008000001
111,0,0,1 ST SE,668.663096325999959,51.046883963799999,-114.060469530999995
112,0,0,1 ST SE,668.663096325999959,51.046862559300003,-114.060471047999997
113,0,0,1 ST SE,668.663096325999959,51.046841154900001,-114.060472563999994
114,0,0,1 ST SE,668.663096325999959,51.046819750399997,-114.060474080000006
115,0,0,1 ST SE,668.663096325999959,51.046798345900001,-114.060475597000007
116,0,0,1 ST SE,668.663096325999959,51.046776941399997,-114.060477113000005
117,0,0,1 ST SE,668.663096325999959,51.046755536900001,-114.060478630000006
118,0,0,1 ST SE,668.663096325999959,51.046734132499999,-114.060480146000003
119,0,0,1 ST SE,668.663096325999959,51.046712728000003,-114.060481662000001
120,0,0,1 ST SE,668.663096325999959,51.046691323499999,-114.060483179000002
121,0,0,1 ST SE,668.663096325999959,51.046669919000003,-114.060484695000000
