FID,JOIN_FID,FREQUENCY,SUM_resist
-1,379,964,2157.180292
-1,380,15,33.5660865
-1,381,33,73.84539019
-1,382,2037,4558.273435
-1,383,185,413.9816697
-1,384,27,60.41894647
-1,385,103,230.4871296
-1,386,91,203.6342864
-1,387,268,599.7141651
-1,388,1678,3754.926598
-1,389,36,80.55862593
-1,390,1296,2900.110373
-1,391,82,183.4946788
-1,392,13,29.09061974
-1,393,1689,3779.541968
-1,394,301,673.5596327
-1,395,30,67.13219061
-1,396,681,1523.900674
-1,397,125,279.7174534
-1,398,721,1613.410287
-1,399,328,733.9786327
-1,400,135,302.0948715
-1,401,1431,3202.205529
-1,402,149,333.4232348
-1,403,110,246.1513711
-1,404,167,373.7025578
-1,405,334,747.4051032
-1,406,46,102.9360372
-1,407,44,98.46055844
-1,408,17,38.04155687
-1,409,15,33.56608993
-1,410,5886,13171.33318
-1,411,11,24.61511888
-1,412,1545,3457.305924
-1,413,1303,2915.774561
-1,414,455,1018.169344
-1,415,153,342.3734239
-1,416,130,290.9057359
-1,417,3005,6724.399109
-1,418,157,351.3249545
-1,419,12,26.85286397
-1,420,55,123.0756298
-1,421,27,60.41894617
-1,422,300,671.3218756
-1,423,17,38.04158029
-1,424,26,58.18121765
-1,425,12,26.85288083
-1,426,3,6.713220111
-1,427,40,89.50958728
-1,428,784,1754.387055
-1,429,211,472.1629378
-1,430,27,60.41893308
-1,431,191,427.4080547
-1,432,8,17.90190603
-1,433,21,46.99251384
-1,434,49,109.6492154
-1,435,155,346.8495623
-1,436,15,33.56608864
-1,437,2363,5287.775825
-1,438,5247,11741.41436
-1,439,183,409.5064315
-1,440,3,6.713219261
-1,441,2,4.475479308
-1,442,2549,5703.99563
-1,443,30,67.13217886
-1,444,673,1505.999035
-1,446,1160,2595.777038
-1,447,10,22.37739286
-1,448,225,503.49056
-1,449,1438,3217.863761
-1,450,48,107.4112946
-1,451,8772,19629.41386
-1,452,67,149.9282786
-1,453,8576,19190.8184
-1,454,338,756.3545936
-1,455,365,816.7734691
-1,456,374,836.913091
-1,457,510,1141.245126
-1,458,49,109.6490449
-1,459,73,163.3547006
-1,460,463,1036.071562
-1,461,24,53.70565764
-1,462,39,87.27169384
-1,463,489,1094.252778
