Orig_FID,Class,Quadrant,District,Orig_area,Gridtype,Resolution,Area,DiffArea,Percent
253,Manicured,NE,707C,75.80803311,ISEA3H,25,422.9321233,347.1240902,457.8988215
550,Manicured,NW,801E,76.41633186,ISEA3H,25,302.0943086,225.6779768,295.3268906
995,Manicured,NE,707H,76.5857804,ISEA3H,25,362.5130592,285.9272788,373.3425152
474,Building/Paved,NW,801E,76.72177961,ISEA3H,25,422.9321181,346.2103385,451.2543117
280,Manicured,NE,801J,76.766169,ISEA3H,25,1329.21497,1252.448801,1631.511403
216,Building/Paved,NE,707A,76.97122663,ISEA3H,25,362.5136179,285.5423913,370.9728996
499,Building/Paved,NW,801E,76.97733103,ISEA3H,25,1087.540134,1010.562803,1312.805718
963,Manicured,NE,707H,77.34811484,ISEA3H,25,483.3507974,406.0026825,524.9031387
389,Manicured,NE,707A,77.71070884,ISEA3H,25,362.513816,284.8031071,366.4914545
1055,Roads/Raillines,NE,707H,77.78339935,ISEA3H,25,483.3506804,405.5672811,521.4059613
168,Building/Paved,NE,707C,78.0693953,ISEA3H,25,241.6757513,163.606356,209.5652917
291,Manicured,NE,801F,78.23228869,ISEA3H,25,725.0268447,646.794556,826.7616439
879,Manicured,NE,707G,78.72621665,ISEA3H,25,362.5133299,283.7871132,360.4734551
1100,Stream/Rivers,NE,707H,78.84799179,ISEA3H,25,362.5130488,283.665057,359.76193
1041,PavedTrails,NE,707D,79.06842741,ISEA3H,25,664.608315,585.5398875,740.5482905
531,Manicured,NW,801D,79.08487339,ISEA3H,25,302.094423,223.0095496,281.9876166
1080,Roads/Raillines,NE,707H,79.19506075,ISEA3H,25,422.9323709,343.7373102,434.0388238
718,Building/Paved,NE,707H,79.40421336,ISEA3H,25,302.0943613,222.690148,280.4512992
259,Manicured,NE,707E,79.57707106,ISEA3H,25,483.3516048,403.7745338,507.4005972
888,Manicured,NE,707G,79.9478191,ISEA3H,25,241.675564,161.7277449,202.2916281
155,Building/Paved,NE,801H,80.5962768,ISEA3H,25,302.0946638,221.498387,274.8245897
407,Manicured,NE,707A,81.30396972,ISEA3H,25,422.9328527,341.628883,420.1872112
890,Manicured,NE,707H,81.45342151,ISEA3H,25,422.9322701,341.4788486,419.2320498
427,Roads/Raillines,NE,707A,82.06315101,ISEA3H,25,302.0948561,220.0317051,268.1248555
340,Manicured,NE,707D,82.77386816,ISEA3H,25,785.4463977,702.6725296,848.9062372
1064,Roads/Raillines,NE,707H,83.21924836,ISEA3H,25,302.0941753,218.8749269,263.0099781
244,Manicured,NE,707C,83.28883697,ISEA3H,25,362.5132302,279.2243933,335.2482799
626,Manicured,NW,801E,83.45921966,ISEA3H,25,845.8645466,762.4053269,913.5064167
243,Manicured,NE,707C,84.74470462,ISEA3H,25,302.0943579,217.3496533,256.4757931
831,Manicured,NE,707I,85.41918821,ISEA3H,25,543.7696468,458.3504586,536.5895745
33,Building/Paved,NE,801F,85.95252515,ISEA3H,25,362.5131889,276.5606637,321.7597892
292,Manicured,NE,801G,87.17785305,ISEA3H,25,725.0268489,637.8489959,731.6640334
694,Building/Paved,NE,707I,87.28307681,ISEA3H,25,362.5131117,275.2300349,315.3303538
749,Building/Paved,NE,707D,87.45485669,ISEA3H,25,362.5134791,275.0586224,314.514977
897,Manicured,NE,707G,87.50902073,ISEA3H,25,302.0944745,214.5854538,245.2152384
921,Manicured,NE,707D,87.5973982,ISEA3H,25,422.9323089,335.3349107,382.8137794
233,Forest,NE,707A,87.85334791,ISEA3H,25,362.5138278,274.6604799,312.6351886
17,Building/Paved,NE,801F,87.85350877,ISEA3H,25,302.0942775,214.2407687,243.8613684
